FECHA	HORA	Altura	Combinacion_Canya	Temperatura
11/12/2015	12:47:42	255.830000	3.000000	14.600000
11/12/2015	12:47:42	255.830000	3.000000	14.600000
11/12/2015	12:47:42	255.830000	3.000000	14.600000
11/12/2015	12:47:43	255.830000	3.000000	14.600000
11/12/2015	12:47:43	255.830000	3.000000	14.600000
11/12/2015	12:47:43	255.830000	3.000000	14.600000
11/12/2015	12:47:43	255.830000	3.000000	14.600000
11/12/2015	12:47:43	255.830000	3.000000	14.600000
11/12/2015	12:47:44	255.830000	3.000000	14.600000
11/12/2015	12:47:44	255.830000	3.000000	14.600000
11/12/2015	12:47:44	255.830000	3.000000	14.600000
11/12/2015	12:47:44	255.830000	3.000000	14.600000
11/12/2015	12:47:44	255.830000	3.000000	14.600000
11/12/2015	12:47:45	255.830000	3.000000	14.600000
11/12/2015	12:47:45	255.830000	3.000000	14.600000
11/12/2015	12:47:45	255.830000	3.000000	14.600000
11/12/2015	12:47:45	255.830000	3.000000	14.600000
11/12/2015	12:47:45	255.830000	3.000000	14.600000
11/12/2015	12:47:46	255.830000	3.000000	14.600000
11/12/2015	12:47:46	255.830000	3.000000	14.600000
11/12/2015	12:47:46	297.440000	3.000000	14.600000
11/12/2015	12:47:46	297.440000	3.000000	14.600000
11/12/2015	12:47:46	297.440000	3.000000	14.600000
11/12/2015	12:47:47	297.440000	3.000000	14.600000
11/12/2015	12:47:47	297.440000	3.000000	14.600000
11/12/2015	12:47:47	297.440000	3.000000	14.600000
11/12/2015	12:47:47	297.440000	3.000000	14.600000
11/12/2015	12:47:47	297.440000	3.000000	14.600000
11/12/2015	12:47:48	297.440000	3.000000	14.600000
11/12/2015	12:47:48	297.440000	3.000000	14.600000
11/12/2015	12:47:48	297.440000	3.000000	14.600000
11/12/2015	12:47:48	297.440000	3.000000	14.600000
11/12/2015	12:47:48	297.440000	3.000000	14.600000
11/12/2015	12:47:49	297.440000	3.000000	14.600000
11/12/2015	12:47:49	297.440000	3.000000	14.600000
11/12/2015	12:47:49	297.440000	3.000000	14.600000
11/12/2015	12:47:49	297.440000	3.000000	14.600000
11/12/2015	12:47:49	297.440000	3.000000	14.600000
11/12/2015	12:47:50	297.440000	3.000000	14.600000
11/12/2015	12:48:14	1078.600000	1.000000	14.600000
11/12/2015	12:48:14	1078.600000	1.000000	14.600000
11/12/2015	12:48:14	1078.600000	1.000000	14.600000
11/12/2015	12:48:14	1078.600000	1.000000	14.600000
11/12/2015	12:48:15	1078.600000	1.000000	14.600000
11/12/2015	12:48:15	1078.600000	1.000000	14.600000
11/12/2015	12:48:15	1078.600000	1.000000	14.600000
11/12/2015	12:48:15	1078.600000	1.000000	14.600000
11/12/2015	12:48:15	1078.600000	1.000000	14.600000
11/12/2015	12:48:16	1078.600000	1.000000	14.600000
11/12/2015	12:48:16	1078.600000	1.000000	14.600000
11/12/2015	12:48:16	1078.600000	1.000000	14.600000
11/12/2015	12:48:16	1078.600000	1.000000	14.600000
11/12/2015	12:48:16	1078.600000	1.000000	14.600000
11/12/2015	12:48:17	1078.600000	1.000000	14.600000
11/12/2015	12:48:17	1078.600000	1.000000	14.600000
11/12/2015	12:48:17	1078.600000	1.000000	14.600000
11/12/2015	12:48:17	1078.600000	1.000000	14.600000
11/12/2015	12:48:18	1078.600000	1.000000	14.600000
11/12/2015	12:48:18	1078.600000	1.000000	14.600000
11/12/2015	12:48:18	1084.350000	1.000000	14.600000
11/12/2015	12:48:18	1084.350000	1.000000	14.600000
11/12/2015	12:48:18	1084.350000	1.000000	14.600000
11/12/2015	12:48:19	1084.350000	1.000000	14.600000
11/12/2015	12:48:19	1084.350000	1.000000	14.600000
11/12/2015	12:48:19	1084.350000	1.000000	14.600000
11/12/2015	12:48:19	1084.350000	1.000000	14.600000
11/12/2015	12:48:19	1084.350000	1.000000	14.600000
11/12/2015	12:48:20	1084.350000	1.000000	14.600000
11/12/2015	12:48:20	1084.350000	1.000000	14.600000
11/12/2015	12:48:20	1084.350000	1.000000	14.600000
11/12/2015	12:48:20	1084.350000	1.000000	14.600000
11/12/2015	12:48:20	1084.350000	1.000000	14.600000
11/12/2015	12:48:21	1084.350000	1.000000	14.600000
11/12/2015	12:48:21	1084.350000	1.000000	14.600000
11/12/2015	12:48:21	1084.350000	1.000000	14.600000
11/12/2015	12:48:21	1084.350000	1.000000	14.600000
11/12/2015	12:48:21	1084.350000	1.000000	14.600000
11/12/2015	12:48:22	1084.350000	1.000000	14.600000
11/12/2015	12:48:22	1084.350000	1.000000	14.600000
11/12/2015	12:48:22	1086.590000	1.000000	14.500000
11/12/2015	12:48:22	1086.590000	1.000000	14.500000
11/12/2015	12:48:22	1086.590000	1.000000	14.500000
11/12/2015	12:48:23	1086.590000	1.000000	14.500000
